State,HeartAttackPCI,HeartFailureACE,HeartFailureDischarge,PneumoniaComposite,PneumoniaCultures,PneumoniaDose6Hrs,PneumoniaRightAntibiotic,PneumoniaInfluenza,PneumoniaPneumovax,SurgeryAntibioticTiming,SurgeryRightAntibiotic,SurgeryGlucoseControlled,SurgeryHairRemoved,SurgeryPreventClots,SurgeryBetaBlocker,SurgeryCatheterRemoved,SurgeryTemperature,AMIDeaths,CHFDeaths,AAARepairDeaths,CABGDeaths,PTCADeaths,PneumoniaDeaths,PSIBirthTrauma,PSIOBTraumaNoInstument,PSIOBTraumaInstrument,PSIPostopSepsis,PSIPneumothorax,PSILowMortDeaths
Alabama,93.6,94.2,88.8,94.6,96.9,96.2,91.5,92.5,94.6,96.9,98.1,94.8,99.8,95.3,95.5,92.3,99.4,,,,,,,,,,,,
Alaska,83,96.7,86.9,93.2,93.6,94,91.4,90.5,95.2,96.8,97.5,96.4,99.8,90.5,92.7,94,99.6,,,,,,,,,,,,
Arizona,88,95.1,86.2,93.4,95.3,94.6,92.6,91,92.5,96.2,97.6,94.5,99.7,93.4,93.4,89.5,98.6,39.8,12.4,38.1,19.7,11.2,17.7,1.4,20.7,139.9,19.9,1.5,0.41
Arkansas,89.5,94,90.5,93.8,96.3,96.3,90.8,90.9,93.5,95.9,97,93.8,99.4,95.6,93.7,88.9,98.8,70.1,30.4,64.5,32.9,12.9,36.6,2.1,23.2,122.8,12.3,1.1,0.46
California,92.1,95.1,91.9,94.4,95.7,95.6,93.7,92.2,94,95.8,97.2,94,99.6,93.2,93.8,90.3,98.9,55.3,21.5,40.6,20.3,12.7,28,1.8,20.9,119.1,16.1,1.3,0.41
Colorado,93.4,96.7,88.5,93.5,96.7,96.8,92.6,88.4,90.9,96.6,97.9,91.8,99.5,94.5,93.5,89.9,99.7,52.5,20.3,31.1,15.8,11.9,18.5,2.2,19.3,152.9,15,1.9,
Connecticut,89.5,93.2,86.4,94.6,96.1,96,94.1,91.1,94.5,96.5,97.1,92.3,99.4,97,93.2,91.1,98.9,52.6,24.1,45.2,22,12.5,23.8,3.4,31.5,178.5,10.7,1.3,0.28
Delaware,92.7,94.5,93.3,92.7,94.1,94.1,90.3,90.5,93.1,97.6,98.8,95.4,100,96.2,96.1,94.7,99.2,,,,,,,,,,,,
District of Columbia,86.5,89.3,76.8,83,89.5,88.9,90.5,71.4,74,94,94.7,93.6,99.3,96.2,90.1,90.1,97.7,,,,,,,,,,,,
Florida,92.4,96.5,92,96.1,96.8,95.9,95.1,95.3,96.7,97.2,97.8,95.1,99.7,96.2,95.5,91.7,99.6,45.8,18.9,52.5,21.4,11.8,24.1,2.2,20.4,106.5,16.7,1.2,0.34
Georgia,90.5,94.6,87,94.7,96.4,95.2,92.7,93.3,95,96.1,97.5,93.4,99.6,94.4,93,90.5,98.8,50.4,19.5,42.9,23.8,11.5,26.6,2.3,23.6,141.3,16.3,1.4,0.65
Hawaii,91.7,95,90.1,91.7,94.1,96.9,93.2,86,87.1,95.3,97.8,90.2,99.2,88.4,91.2,87.3,99.6,52.8,32.4,,36.9,13.3,37.7,3.7,30.6,180,16.4,1.5,0.69
Idaho,93.2,95.4,87.6,94.2,97,96.8,93.4,90.7,92,94.9,97.4,95.8,99.1,93.9,90.4,89.3,99,,,,,,,,,,,,
Illinois,92.1,95.1,90.7,94.4,97,96.2,91.1,92,93.4,96.4,97.4,92.9,99.7,94.9,94.3,90.6,98.8,48.5,20.9,42,20,11.5,25.6,1.9,19.2,142.1,16.6,1,0.33
